»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.9.3
»»»  Vision Version:	5.9.8 (R)
»»»  Vision Compiled:	3/30/16
»»»  Driver Version:	5.9.8
»»»  Windows Version:	Windows 7
»»»  Processor Information:	x86 (AMD or Intel) - 2 Processors
»»»  Tester Name:	PMF0910-256
»»»  Tester S/N:	PMF0910-256
»»»  Internal Amp Type:	 RTI 100V      
»»»  Internal Amp S/N:	 iAB1-0000     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	11/14/2016 - 15:6:35
Configured:	11/14/16 02:58:19 PM
Executed:	11/14/16 03:05:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	4.91e-006
Sample Thickness (µm):	1.75e-001

Mux Loop Adjustment:	Disabled

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF0910-256
Tester Serial Number:	PMF0910-256
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1
Volts:	2.50
Field:	142.86 (kV/cm)
Hysteresis Period (ms):	2.00e+000
Preset:	Enabled
Preset Delay (ms):	1.00e+003
Profile:	Double Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization
 238	2.3800e-001	2.3680	54.639572
 239	2.3900e-001	2.3779	54.684070
 240	2.4000e-001	2.3880	54.711881
 241	2.4100e-001	2.3958	54.722078
 242	2.4200e-001	2.4083	54.765648
 243	2.4300e-001	2.4184	54.809219
 244	2.4400e-001	2.4271	54.814781
 245	2.4500e-001	2.4384	54.860205
 246	2.4600e-001	2.4463	54.881527
 247	2.4700e-001	2.4585	54.935295
 248	2.4800e-001	2.4681	54.968668
 249	2.4900e-001	2.4770	54.993698
 250	2.5000e-001	2.4863	55.050246
 251	2.5100e-001	2.4979	55.085474
 252	2.5200e-001	2.4882	55.084547
 253	2.5300e-001	2.4757	55.043757
 254	2.5400e-001	2.4699	55.042830
 255	2.5500e-001	2.4585	55.054882
 256	2.5600e-001	2.4466	55.046538
 257	2.5700e-001	2.4364	55.017800
 258	2.5800e-001	2.4270	54.998333
 259	2.5900e-001	2.4194	54.963106
 260	2.6000e-001	2.4089	54.973303
 261	2.6100e-001	2.3962	54.945492
 262	2.6200e-001	2.3860	54.943638
 263	2.6300e-001	2.3777	54.930660
 264	2.6400e-001	2.3670	54.923243
 265	2.6500e-001	2.3565	54.914900
 266	2.6600e-001	2.3479	54.924170
 267	2.6700e-001	2.3364	54.889870
 268	2.6800e-001	2.3298	54.884308
 269	2.6900e-001	2.3140	54.871330
 270	2.7000e-001	2.3078	54.846300
 271	2.7100e-001	2.2954	54.812000
 272	2.7200e-001	2.2894	54.805511
 273	2.7300e-001	2.2769	54.781408
 274	2.7400e-001	2.2660	54.788824
 275	2.7500e-001	2.2563	54.777700
 276	2.7600e-001	2.2472	54.747108
 277	2.7700e-001	2.2375	54.727640
 278	2.7800e-001	2.2267	54.714662
 279	2.7900e-001	2.2144	54.713735
 280	2.8000e-001	2.2067	54.676654
 281	2.8100e-001	2.1949	54.653478
 282	2.8200e-001	2.1867	54.643281
 283	2.8300e-001	2.1766	54.649770
 284	2.8400e-001	2.1671	54.624740
 285	2.8500e-001	2.1573	54.599710
 286	2.8600e-001	2.1481	54.609908
 287	2.8700e-001	2.1404	54.560775
 288	2.8800e-001	2.1276	54.539453
 289	2.8900e-001	2.1178	54.506080
 290	2.9000e-001	2.1095	54.498664
 291	2.9100e-001	2.0986	54.499591
 292	2.9200e-001	2.0872	54.494029
 293	2.9300e-001	2.0764	54.459729
 294	2.9400e-001	2.0650	54.478269
 295	2.9500e-001	2.0560	54.424502
 296	2.9600e-001	2.0483	54.410596
 297	2.9700e-001	2.0366	54.395764
 298	2.9800e-001	2.0260	54.378150
 299	2.9900e-001	2.0156	54.360537
 300	3.0000e-001	2.0075	54.316039
 301	3.0100e-001	1.9977	54.322528
 302	3.0200e-001	1.9846	54.291936
 303	3.0300e-001	1.9762	54.265980
 304	3.0400e-001	1.9658	54.310477
 305	3.0500e-001	1.9588	54.251147
 306	3.0600e-001	1.9478	54.209431
 307	3.0700e-001	1.9364	54.185328
 308	3.0800e-001	1.9266	54.167715
 309	3.0900e-001	1.9175	54.159371
 310	3.1000e-001	1.9054	54.166788
 311	3.1100e-001	1.8937	54.142685
 312	3.1200e-001	1.8863	54.111166
